mix compile
Compiling 2 files (.ex)
-------------------------------------------------------------------
server5-0001 role=LEADER    term=001 +vall {:APPEND_ENTRIES_REQUEST, {1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
  time = 1000 client requests seen = []
  time = 1000      db updates done = []

server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
  time = 1500 client requests seen = []
  time = 1500      db updates done = []

server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 2}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 3}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 4}}
server5-0002 role=LEADER    term=001 -atim {:APPEND_ENTRIES_TIMEOUT, {1, 1}}
